Unnamed: 0,name,business_status,geometry/location/lat,geometry/location/lng,vicinity,place_id,skills,team_size,availability,open_status_throughout_week,open_day,open_hour_monday_start,open_hour_monday_end,open_hour_tuesday_start,open_hour_tuesday_end,open_hour_wednesday_start,open_hour_wednesday_end,open_hour_thursday_start,open_hour_thursday_end,open_hour_friday_start,open_hour_friday_end,open_hour_saturday_start,open_hour_saturday_end,open_hour_sunday_start,open_hour_sunday_end
11,Freiwillige Feuerwehr Bischmisheim,OPERATIONAL,49.22058639999999,7.0656365,"Schulstraße 4, Saarbrücken",ChIJzT-1WOW1lUcReLq5Po6tLOE,"['emergency medical', 'firefighting', 'technical rescue', 'hazardous materials']",2,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Friday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
12,Freiwillige Feuerwehr Herrensohr,OPERATIONAL,49.2746724,7.016553,"Petrusstraße 18, Saarbrücken",ChIJpxpdCSC3lUcRPtv0wlQQwLY,['hazardous materials'],9,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Friday,00:00,15:00,00:00,23:59,01:00,16:00,17:00,23:59,13:00,23:59,22:00,23:00,00:00,10:00
13,Feuerwehr Fechingen,OPERATIONAL,49.2000521,7.064413099999999,"Provinzialstraße 55, Saarbrücken",ChIJL4-QfoW1lUcRictQRnbQyzs,"['hazardous materials', 'firefighting']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Thursday,08:00,00:00,00:00,23:59,16:00,23:59,14:00,23:00,00:00,23:00,00:00,11:00,00:00,23:59
14,Feuerwehr Gersweiler,OPERATIONAL,49.23206829999999,6.9206211,"Dachsweg 7, Saarbrücken",ChIJv70Idi-ylUcR15NKYr-xx9o,"['technical rescue', 'hazardous materials', 'emergency medical']",8,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Sunday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
15,Feuerwehr Altenkessel,OPERATIONAL,49.2617712,6.915440900000001,"Gerhardstraße 7, Saarbrücken",ChIJO5wRq_OxlUcR5Kf5uCEA6ag,"['emergency medical', 'hazardous materials', 'technical rescue', 'firefighting']",4,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Monday,00:00,23:59,19:00,19:00,04:00,13:00,01:00,23:59,18:00,00:00,00:00,23:59,00:00,23:59
16,Feuerwehr Ensheim,OPERATIONAL,49.2073859,7.109381399999999,"Backfeldstraße 1, Saarbrücken",ChIJm7oBWTnLlUcRdnRMXc3egeM,"['firefighting', 'hazardous materials', 'technical rescue', 'emergency medical']",6,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Saturday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
17,Freiwillige Feuerwehr St. Ingbert,OPERATIONAL,49.2784432,7.1103006,"Kohlenstraße 73, St. Ingbert",ChIJ56lwfDrIlUcROmn3FSCPEIw,['firefighting'],4,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Saturday,00:00,23:00,00:00,23:59,00:00,23:59,00:00,23:59,03:00,20:00,00:00,00:00,10:00,23:59
18,Freiwillige Feuerwehr St. Ingbert - Hassel,OPERATIONAL,49.2654298,7.162065499999999,"Rohrbacher Str. 2b, St. Ingbert",ChIJI9SeKR7JlUcR5gW4y5odiVM,"['firefighting', 'technical rescue', 'hazardous materials', 'emergency medical']",10,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Saturday,00:00,23:59,00:00,19:00,12:00,23:59,06:00,23:59,00:00,14:00,03:00,23:59,21:00,23:59
19,Freiwillige Feuerwehr Bübingen LB24,OPERATIONAL,49.1847922,7.0406816,"Moselstraße 14, Saarbrücken",ChIJHSmqOAy1lUcRtH1NS1OHDhw,"['emergency medical', 'firefighting', 'hazardous materials', 'technical rescue']",4,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Saturday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
20,Feuerwehr Saarbrücken Dudweiler,OPERATIONAL,49.2818583,7.0384581,"Fischbachstraße 1, Saarbrücken",ChIJyYuYcwa3lUcR5NJqgRk5Gvs,"['technical rescue', 'emergency medical', 'hazardous materials', 'firefighting']",10,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Monday,16:00,23:00,00:00,18:00,00:00,00:00,00:00,23:59,00:00,23:59,00:00,00:00,00:00,23:59
21,Feuerwehr Quierschied; Löschbezirk Fischbach,OPERATIONAL,49.30744869999999,7.0295831,"Quierschieder Str. 80, Quierschied",ChIJr8fZ5Ga3lUcR5fJqlMuZ7pI,"['emergency medical', 'technical rescue']",2,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Monday,00:00,23:59,17:00,17:00,15:00,23:59,00:00,00:00,23:00,23:59,00:00,23:59,11:00,12:00
22,Freiwillige Feuerwehr Klarenthal,OPERATIONAL,49.22924159999999,6.8985151,Saarbrücken,ChIJyTXyCzCzlUcRSgn3gBqysSU,"['technical rescue', 'emergency medical', 'firefighting', 'hazardous materials']",4,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Monday,15:00,17:00,00:00,00:00,00:00,23:59,00:00,23:59,15:00,23:59,00:00,00:00,00:00,23:59
23,Feuerwehr Rentrisch,OPERATIONAL,49.2644223,7.0878815,"Heinestraße 9, St. Ingbert",ChIJhwH7ZCm2lUcRp5SNQZMAabQ,"['firefighting', 'technical rescue', 'emergency medical', 'hazardous materials']",1,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Monday,00:00,20:00,00:00,23:59,03:00,23:59,00:00,22:00,01:00,20:00,00:00,23:59,00:00,20:00
24,Löschbezirk Püttlingen Gerätehaus,OPERATIONAL,49.2847332,6.889850099999999,"Bengeser Str. 29, Püttlingen",ChIJHZUsYtSvlUcRPJqRuIWh6nA,"['technical rescue', 'hazardous materials']",8,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Wednesday,00:00,09:00,15:00,23:59,00:00,23:59,13:00,14:00,08:00,23:59,03:00,23:59,00:00,23:59
25,Feuerwehr Völklingen Löschbezirk Stadtmitte,OPERATIONAL,49.2530933,6.857665,"Fontanestraße 15, Völklingen",ChIJl4BQC3KulUcRemSPRJdEIZE,"['firefighting', 'hazardous materials', 'technical rescue']",6,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Thursday,17:00,22:00,00:00,23:59,16:00,23:59,00:00,23:59,03:00,13:00,12:00,00:00,07:00,23:59
26,Freiwillige Feuerwehr Sulzbach LB3,OPERATIONAL,49.3125566,7.0768856,"Eisenbahnschachtanlage 14, Sulzbach/Saar",ChIJaZRAGSC4lUcRnpqWgyXkyLI,"['technical rescue', 'firefighting', 'emergency medical', 'hazardous materials']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Saturday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
27,Freiwillige Feuerwehr Neuweiler,OPERATIONAL,49.2837431,7.066275,"Hochstraße 100, Sulzbach/Saar",ChIJwZV6gbi3lUcRqMbMm3ATUi4,"['technical rescue', 'hazardous materials', 'firefighting']",8,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Friday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
28,Freiwillige Feuerwehr Heckendalheim,OPERATIONAL,49.2295506,7.1382353,Mandelbachtal,ChIJ1WGMK3nJlUcRtTQpGl7r1xY,"['emergency medical', 'technical rescue', 'firefighting']",9,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Thursday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
29,Feuerwehr Mandelbachtal Lbz. Ormesheim,OPERATIONAL,49.1986078,7.144061,"Theo-Carlen-Platz,, Mandelbachtal",ChIJkX-PyrzLlUcRd1uAC6NUOck,"['hazardous materials', 'technical rescue', 'emergency medical', 'firefighting']",10,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Friday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
30,FF Kleinblittersdorf - LB Kleinblittersdorf,OPERATIONAL,49.1564023,7.0381638,"Oberdorfstraße 41, Kleinblittersdorf",ChIJg4DbDeC1lUcRQQ9Ao-_zCUc,['firefighting'],7,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Monday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
31,Freiwillige Feuerwehr,OPERATIONAL,49.32758219999999,7.0495303,"Schumannstraße, Quierschied",ChIJqdPFGs65lUcRy-D0OO9uLjg,"['firefighting', 'hazardous materials']",3,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Sunday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
32,"Feuerwehr Friedrichsthal, Löschbezirk Friedrichsthal",OPERATIONAL,49.3253711,7.0982755,"Grubenstraße 2, Friedrichsthal",ChIJ12w0pg64lUcRjXAd3DEjp4g,"['emergency medical', 'firefighting', 'technical rescue']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Sunday,00:00,22:00,15:00,08:00,12:00,23:59,08:00,00:00,00:00,05:00,00:00,23:59,00:00,23:59
33,Feuerwehr Bildstock,OPERATIONAL,49.3310174,7.088318,"Grühlingstraße 9B, Friedrichsthal",ChIJW26uVRO4lUcROfRGWfhd-qw,"['hazardous materials', 'emergency medical', 'technical rescue']",10,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Thursday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
34,Freiwillige Feuerwehr Elversberg,OPERATIONAL,49.3189952,7.129055399999999,"Hüttenstraße 12, Spiesen-Elversberg",ChIJmxozbd3HlUcRI5FaqdWS-Vo,"['firefighting', 'hazardous materials', 'technical rescue']",1,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Wednesday,00:00,19:00,00:00,20:00,00:00,22:00,00:00,23:00,17:00,16:00,00:00,23:59,00:00,23:59
35,"Verbundatemschutzwerkstatt der Feuerwehren Illingen, Merchweiler und Schiffweiler",OPERATIONAL,49.3576795,7.096187599999999,"Welzower Platz 1, Schiffweiler",ChIJPXMOWZK5lUcRCyWrZ18y1gA,"['emergency medical', 'firefighting', 'hazardous materials']",8,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Saturday,00:00,23:59,08:00,10:00,00:00,23:59,00:00,23:59,19:00,23:59,00:00,23:59,01:00,23:59
36,Feuerwehr Gerätehaus,OPERATIONAL,49.1873987,6.8146926,"Bertholdstraße 2, Großrosseln",ChIJsVGU1-aslUcRupcXqnaYA0Y,"['firefighting', 'emergency medical']",1,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Wednesday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
37,Alte Feuerwehr Emmersweiler,OPERATIONAL,49.1812801,6.8546495,"In den Kreuzlängten 2, Großrosseln",ChIJPaeBdk6tlUcRzmja-OwqIa0,['emergency medical'],8,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Monday,14:00,23:59,00:00,14:00,00:00,23:00,00:00,12:00,02:00,23:59,00:00,00:00,00:00,23:59
38,"Feuerwehr Großrosseln, LB Süd",OPERATIONAL,49.1709929,6.8425652,"Am Hirschelheck 21, Großrosseln",ChIJ8U8y1jetlUcRakgUEWQ-vZg,['hazardous materials'],7,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Monday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
39,Sapeurs Pompiers de Stiring-Wendel,OPERATIONAL,49.2018504,6.9239587,"3 Rue du Ctre, Stiring-Wendel",ChIJQ1H_0FSylUcRMjaBRIibxo0,"['emergency medical', 'hazardous materials', 'firefighting']",7,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Thursday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
40,Feuerwehr Völklingen Löschbezirk Luisenthal,OPERATIONAL,49.2491488,6.9008717,"Jahnstraße, Völklingen",ChIJ5TCrRPCxlUcRnz8YEgokCmI,"['firefighting', 'emergency medical', 'technical rescue']",6,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Tuesday,00:00,00:00,00:00,23:00,00:00,23:59,19:00,21:00,03:00,23:59,12:00,22:00,00:00,04:00
41,Sapeurs-Pompiers de Petite-Roselle,OPERATIONAL,49.2125631,6.8632054,"Rue Roger Cadel, Petite-Rosselle",ChIJ_Q8sIZCtlUcRx3AkJo2U8BA,"['technical rescue', 'firefighting', 'emergency medical', 'hazardous materials']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Friday,03:00,23:59,11:00,23:59,05:00,22:00,00:00,23:00,00:00,18:00,00:00,23:59,08:00,00:00
42,Freiwillige GanzTagsSchule,OPERATIONAL,49.2530221,6.860089899999999,"Hohenzollernstraße 11, Völklingen",ChIJn7CknHKulUcR7DanYyoYszA,"['hazardous materials', 'technical rescue']",3,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Thursday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
43,Förderverein der Freiwilligen Feuerwehr Stadt Püttlingen Löschbezirk Köllerbach e.V.,OPERATIONAL,49.3039435,6.8952635,"Friedhofstraße 4, Püttlingen",ChIJmwD76OCvlUcRDQE3IIUVhVE,"['hazardous materials', 'firefighting', 'technical rescue']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Saturday,00:00,16:00,06:00,00:00,00:00,10:00,14:00,23:59,00:00,23:59,13:00,23:59,00:00,23:59
44,Werkfeuerwehr Saarstahl,OPERATIONAL,49.2534426,6.849493,Völklingen,ChIJ7zd98aivlUcRaRdZuDXZm9g,"['firefighting', 'hazardous materials', 'technical rescue']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Wednesday,00:00,23:59,14:00,23:59,00:00,21:00,00:00,23:59,00:00,23:00,06:00,21:00,00:00,19:00
45,Löschbezirk Herchenbach Gerätehaus,OPERATIONAL,49.3170842,6.900045899999999,"Kyllbergstraße 151a, Püttlingen",ChIJO0HaKfyvlUcRAEofgpua9qY,"['technical rescue', 'hazardous materials', 'firefighting', 'emergency medical']",9,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Thursday,00:00,21:00,00:00,23:59,20:00,15:00,22:00,17:00,00:00,23:59,09:00,23:59,00:00,23:00
46,Feuerwehr Völklingen Löschbezirk Geislautern,OPERATIONAL,49.2371643,6.836941899999999,"Im Kirchenfeld 5, Völklingen",ChIJ7e4Tn9KtlUcR443BMy3PkcM,['emergency medical'],10,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Sunday,18:00,23:59,00:00,00:00,07:00,13:00,00:00,23:59,00:00,20:00,00:00,12:00,18:00,23:59
47,Feuerwehr Völklingen Löschbezirk Wehrden,OPERATIONAL,49.24895189999999,6.835933799999999,"Hostenbacher Str. 30, Völklingen",ChIJTyR8poCulUcRRaLt3Z8TmE0,"['emergency medical', 'hazardous materials']",10,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Wednesday,00:00,23:59,00:00,17:00,00:00,06:00,15:00,23:59,00:00,20:00,00:00,13:00,17:00,11:00
48,Jugendfeuerwehr Lbz-Süd,OPERATIONAL,49.1710799,6.8427067,"Am Hirschelheck 19, Großrosseln",ChIJg85ZHaytlUcRQnIDo9NCGCo,"['firefighting', 'hazardous materials']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Thursday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
49,Feuerwehr Völklingen Löschbezirk Ludweiler,OPERATIONAL,49.21837009999999,6.807472799999999,"Schulstraße 8A, Völklingen",ChIJgdwGuUOslUcRJWMtDLWoNEg,"['hazardous materials', 'firefighting', 'technical rescue']",3,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Sunday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
50,Feuerwehr Heusweiler - LB Holz (LB 6),OPERATIONAL,49.3307508,6.986127199999999,"Holzer Pl., Heusweiler",ChIJU3lhuBO6lUcRmq-l6gC_2MU,['technical rescue'],6,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Tuesday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
